Year,Artist,Song,Release Date,Rank,Song Length,Label,Genre
2015,Mark Ronson,Uptown Funk,11-10-14,1,3:58,Various,Funk
2010,Kesha,Tik Tok,08-07-09,1,3:21,RCA,Electropop
2005,Mariah Carey,We Belong Together,03-05-05,1,3:21,Island,R&B
2000,Faith Hill,Breathe,10-04-99,1,4:09,Warner Bros,Country Pop
1995,Coolio,Gansta's Paradise,08-08-95,1,4:00,Tommy Boy,Hip Hop/R&B
1990,Wilson Phillips,Hold On,02-27-90,1,3:42,SBK,Pop
1985,Wham!,Careless Whisper,06-24-84,1,5:04,Columbia,Pop
1980,Blondie,Call Me,02-01-80,1,3:32,Polydor,Dance-Rock
1975,Captain and Tennille,Love Will Keep us Together,04-01-75,1,3:24,A&M,Pop
1970,Simon and Garfunkle,Bridge over Troubled Water,01-01-60,1,4:55,Columbia,Folk Rock
1965,Sam the Sham and the Pharoes,Wooly Bully,03-12-65,1,2:20,XL 906,Rock and Roll
1960,Percy Faith,Theme from a Summer Place,09-01-59,1,2:25,Columbia,Easy Listening
1955,Bill Haley and His Comets,Rock Around the Clock,04-12-54,2,2:08,Decca,Instrumental
1950,Gordon Jenkins and the Weavers,Goodnight Irene,01-01-43,1,2:25,Melodisc,Folk